TC,T1,T2,FL,GMM
sub-A011/ses-BRATS/anat/sub-A011_ses-BRATS_ce_T1w.nii.gz,sub-A011/ses-BRATS/anat/sub-A011_ses-BRATS_T1w.nii.gz,sub-A011/ses-BRATS/anat/sub-A011_ses-BRATS_T2w.nii.gz,sub-A011/ses-BRATS/anat/sub-A011_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A011/anat/healthygmm.nii.gz
sub-A012/ses-BRATS/anat/sub-A012_ses-BRATS_ce_T1w.nii.gz,sub-A012/ses-BRATS/anat/sub-A012_ses-BRATS_T1w.nii.gz,sub-A012/ses-BRATS/anat/sub-A012_ses-BRATS_T2w.nii.gz,sub-A012/ses-BRATS/anat/sub-A012_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A012/anat/healthygmm.nii.gz
sub-A013/ses-BRATS/anat/sub-A013_ses-BRATS_ce_T1w.nii.gz,sub-A013/ses-BRATS/anat/sub-A013_ses-BRATS_T1w.nii.gz,sub-A013/ses-BRATS/anat/sub-A013_ses-BRATS_T2w.nii.gz,sub-A013/ses-BRATS/anat/sub-A013_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A013/anat/healthygmm.nii.gz
sub-A014/ses-BRATS/anat/sub-A014_ses-BRATS_ce_T1w.nii.gz,sub-A014/ses-BRATS/anat/sub-A014_ses-BRATS_T1w.nii.gz,sub-A014/ses-BRATS/anat/sub-A014_ses-BRATS_T2w.nii.gz,sub-A014/ses-BRATS/anat/sub-A014_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A014/anat/healthygmm.nii.gz
sub-A015/ses-BRATS/anat/sub-A015_ses-BRATS_ce_T1w.nii.gz,sub-A015/ses-BRATS/anat/sub-A015_ses-BRATS_T1w.nii.gz,sub-A015/ses-BRATS/anat/sub-A015_ses-BRATS_T2w.nii.gz,sub-A015/ses-BRATS/anat/sub-A015_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A015/anat/healthygmm.nii.gz
sub-A016/ses-BRATS/anat/sub-A016_ses-BRATS_ce_T1w.nii.gz,sub-A016/ses-BRATS/anat/sub-A016_ses-BRATS_T1w.nii.gz,sub-A016/ses-BRATS/anat/sub-A016_ses-BRATS_T2w.nii.gz,sub-A016/ses-BRATS/anat/sub-A016_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A016/anat/healthygmm.nii.gz
sub-A017/ses-BRATS/anat/sub-A017_ses-BRATS_ce_T1w.nii.gz,sub-A017/ses-BRATS/anat/sub-A017_ses-BRATS_T1w.nii.gz,sub-A017/ses-BRATS/anat/sub-A017_ses-BRATS_T2w.nii.gz,sub-A017/ses-BRATS/anat/sub-A017_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A017/anat/healthygmm.nii.gz
sub-A018/ses-BRATS/anat/sub-A018_ses-BRATS_ce_T1w.nii.gz,sub-A018/ses-BRATS/anat/sub-A018_ses-BRATS_T1w.nii.gz,sub-A018/ses-BRATS/anat/sub-A018_ses-BRATS_T2w.nii.gz,sub-A018/ses-BRATS/anat/sub-A018_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A018/anat/healthygmm.nii.gz
sub-A019/ses-BRATS/anat/sub-A019_ses-BRATS_ce_T1w.nii.gz,sub-A019/ses-BRATS/anat/sub-A019_ses-BRATS_T1w.nii.gz,sub-A019/ses-BRATS/anat/sub-A019_ses-BRATS_T2w.nii.gz,sub-A019/ses-BRATS/anat/sub-A019_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A019/anat/healthygmm.nii.gz
sub-A020/ses-BRATS/anat/sub-A020_ses-BRATS_ce_T1w.nii.gz,sub-A020/ses-BRATS/anat/sub-A020_ses-BRATS_T1w.nii.gz,sub-A020/ses-BRATS/anat/sub-A020_ses-BRATS_T2w.nii.gz,sub-A020/ses-BRATS/anat/sub-A020_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A020/anat/healthygmm.nii.gz
sub-A021/ses-BRATS/anat/sub-A021_ses-BRATS_ce_T1w.nii.gz,sub-A021/ses-BRATS/anat/sub-A021_ses-BRATS_T1w.nii.gz,sub-A021/ses-BRATS/anat/sub-A021_ses-BRATS_T2w.nii.gz,sub-A021/ses-BRATS/anat/sub-A021_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A021/anat/healthygmm.nii.gz
sub-A022/ses-BRATS/anat/sub-A022_ses-BRATS_ce_T1w.nii.gz,sub-A022/ses-BRATS/anat/sub-A022_ses-BRATS_T1w.nii.gz,sub-A022/ses-BRATS/anat/sub-A022_ses-BRATS_T2w.nii.gz,sub-A022/ses-BRATS/anat/sub-A022_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A022/anat/healthygmm.nii.gz
sub-A023/ses-BRATS/anat/sub-A023_ses-BRATS_ce_T1w.nii.gz,sub-A023/ses-BRATS/anat/sub-A023_ses-BRATS_T1w.nii.gz,sub-A023/ses-BRATS/anat/sub-A023_ses-BRATS_T2w.nii.gz,sub-A023/ses-BRATS/anat/sub-A023_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A023/anat/healthygmm.nii.gz
sub-A024/ses-BRATS/anat/sub-A024_ses-BRATS_ce_T1w.nii.gz,sub-A024/ses-BRATS/anat/sub-A024_ses-BRATS_T1w.nii.gz,sub-A024/ses-BRATS/anat/sub-A024_ses-BRATS_T2w.nii.gz,sub-A024/ses-BRATS/anat/sub-A024_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A024/anat/healthygmm.nii.gz
sub-A025/ses-BRATS/anat/sub-A025_ses-BRATS_ce_T1w.nii.gz,sub-A025/ses-BRATS/anat/sub-A025_ses-BRATS_T1w.nii.gz,sub-A025/ses-BRATS/anat/sub-A025_ses-BRATS_T2w.nii.gz,sub-A025/ses-BRATS/anat/sub-A025_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A025/anat/healthygmm.nii.gz
sub-A026/ses-BRATS/anat/sub-A026_ses-BRATS_ce_T1w.nii.gz,sub-A026/ses-BRATS/anat/sub-A026_ses-BRATS_T1w.nii.gz,sub-A026/ses-BRATS/anat/sub-A026_ses-BRATS_T2w.nii.gz,sub-A026/ses-BRATS/anat/sub-A026_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A026/anat/healthygmm.nii.gz
sub-A027/ses-BRATS/anat/sub-A027_ses-BRATS_ce_T1w.nii.gz,sub-A027/ses-BRATS/anat/sub-A027_ses-BRATS_T1w.nii.gz,sub-A027/ses-BRATS/anat/sub-A027_ses-BRATS_T2w.nii.gz,sub-A027/ses-BRATS/anat/sub-A027_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A027/anat/healthygmm.nii.gz
sub-A028/ses-BRATS/anat/sub-A028_ses-BRATS_ce_T1w.nii.gz,sub-A028/ses-BRATS/anat/sub-A028_ses-BRATS_T1w.nii.gz,sub-A028/ses-BRATS/anat/sub-A028_ses-BRATS_T2w.nii.gz,sub-A028/ses-BRATS/anat/sub-A028_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A028/anat/healthygmm.nii.gz
sub-A029/ses-BRATS/anat/sub-A029_ses-BRATS_ce_T1w.nii.gz,sub-A029/ses-BRATS/anat/sub-A029_ses-BRATS_T1w.nii.gz,sub-A029/ses-BRATS/anat/sub-A029_ses-BRATS_T2w.nii.gz,sub-A029/ses-BRATS/anat/sub-A029_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A029/anat/healthygmm.nii.gz
sub-A030/ses-BRATS/anat/sub-A030_ses-BRATS_ce_T1w.nii.gz,sub-A030/ses-BRATS/anat/sub-A030_ses-BRATS_T1w.nii.gz,sub-A030/ses-BRATS/anat/sub-A030_ses-BRATS_T2w.nii.gz,sub-A030/ses-BRATS/anat/sub-A030_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A030/anat/healthygmm.nii.gz
sub-A031/ses-BRATS/anat/sub-A031_ses-BRATS_ce_T1w.nii.gz,sub-A031/ses-BRATS/anat/sub-A031_ses-BRATS_T1w.nii.gz,sub-A031/ses-BRATS/anat/sub-A031_ses-BRATS_T2w.nii.gz,sub-A031/ses-BRATS/anat/sub-A031_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A031/anat/healthygmm.nii.gz
sub-A032/ses-BRATS/anat/sub-A032_ses-BRATS_ce_T1w.nii.gz,sub-A032/ses-BRATS/anat/sub-A032_ses-BRATS_T1w.nii.gz,sub-A032/ses-BRATS/anat/sub-A032_ses-BRATS_T2w.nii.gz,sub-A032/ses-BRATS/anat/sub-A032_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A032/anat/healthygmm.nii.gz
sub-A033/ses-BRATS/anat/sub-A033_ses-BRATS_ce_T1w.nii.gz,sub-A033/ses-BRATS/anat/sub-A033_ses-BRATS_T1w.nii.gz,sub-A033/ses-BRATS/anat/sub-A033_ses-BRATS_T2w.nii.gz,sub-A033/ses-BRATS/anat/sub-A033_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A033/anat/healthygmm.nii.gz
sub-A034/ses-BRATS/anat/sub-A034_ses-BRATS_ce_T1w.nii.gz,sub-A034/ses-BRATS/anat/sub-A034_ses-BRATS_T1w.nii.gz,sub-A034/ses-BRATS/anat/sub-A034_ses-BRATS_T2w.nii.gz,sub-A034/ses-BRATS/anat/sub-A034_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A034/anat/healthygmm.nii.gz
sub-A035/ses-BRATS/anat/sub-A035_ses-BRATS_ce_T1w.nii.gz,sub-A035/ses-BRATS/anat/sub-A035_ses-BRATS_T1w.nii.gz,sub-A035/ses-BRATS/anat/sub-A035_ses-BRATS_T2w.nii.gz,sub-A035/ses-BRATS/anat/sub-A035_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A035/anat/healthygmm.nii.gz
sub-A036/ses-BRATS/anat/sub-A036_ses-BRATS_ce_T1w.nii.gz,sub-A036/ses-BRATS/anat/sub-A036_ses-BRATS_T1w.nii.gz,sub-A036/ses-BRATS/anat/sub-A036_ses-BRATS_T2w.nii.gz,sub-A036/ses-BRATS/anat/sub-A036_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A036/anat/healthygmm.nii.gz
sub-A037/ses-BRATS/anat/sub-A037_ses-BRATS_ce_T1w.nii.gz,sub-A037/ses-BRATS/anat/sub-A037_ses-BRATS_T1w.nii.gz,sub-A037/ses-BRATS/anat/sub-A037_ses-BRATS_T2w.nii.gz,sub-A037/ses-BRATS/anat/sub-A037_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A037/anat/healthygmm.nii.gz
sub-A038/ses-BRATS/anat/sub-A038_ses-BRATS_ce_T1w.nii.gz,sub-A038/ses-BRATS/anat/sub-A038_ses-BRATS_T1w.nii.gz,sub-A038/ses-BRATS/anat/sub-A038_ses-BRATS_T2w.nii.gz,sub-A038/ses-BRATS/anat/sub-A038_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A038/anat/healthygmm.nii.gz
sub-A039/ses-BRATS/anat/sub-A039_ses-BRATS_ce_T1w.nii.gz,sub-A039/ses-BRATS/anat/sub-A039_ses-BRATS_T1w.nii.gz,sub-A039/ses-BRATS/anat/sub-A039_ses-BRATS_T2w.nii.gz,sub-A039/ses-BRATS/anat/sub-A039_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A039/anat/healthygmm.nii.gz
sub-A040/ses-BRATS/anat/sub-A040_ses-BRATS_ce_T1w.nii.gz,sub-A040/ses-BRATS/anat/sub-A040_ses-BRATS_T1w.nii.gz,sub-A040/ses-BRATS/anat/sub-A040_ses-BRATS_T2w.nii.gz,sub-A040/ses-BRATS/anat/sub-A040_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A040/anat/healthygmm.nii.gz
sub-A041/ses-BRATS/anat/sub-A041_ses-BRATS_ce_T1w.nii.gz,sub-A041/ses-BRATS/anat/sub-A041_ses-BRATS_T1w.nii.gz,sub-A041/ses-BRATS/anat/sub-A041_ses-BRATS_T2w.nii.gz,sub-A041/ses-BRATS/anat/sub-A041_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A041/anat/healthygmm.nii.gz
sub-A042/ses-BRATS/anat/sub-A042_ses-BRATS_ce_T1w.nii.gz,sub-A042/ses-BRATS/anat/sub-A042_ses-BRATS_T1w.nii.gz,sub-A042/ses-BRATS/anat/sub-A042_ses-BRATS_T2w.nii.gz,sub-A042/ses-BRATS/anat/sub-A042_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A042/anat/healthygmm.nii.gz
sub-A043/ses-BRATS/anat/sub-A043_ses-BRATS_ce_T1w.nii.gz,sub-A043/ses-BRATS/anat/sub-A043_ses-BRATS_T1w.nii.gz,sub-A043/ses-BRATS/anat/sub-A043_ses-BRATS_T2w.nii.gz,sub-A043/ses-BRATS/anat/sub-A043_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A043/anat/healthygmm.nii.gz
sub-A044/ses-BRATS/anat/sub-A044_ses-BRATS_ce_T1w.nii.gz,sub-A044/ses-BRATS/anat/sub-A044_ses-BRATS_T1w.nii.gz,sub-A044/ses-BRATS/anat/sub-A044_ses-BRATS_T2w.nii.gz,sub-A044/ses-BRATS/anat/sub-A044_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A044/anat/healthygmm.nii.gz
sub-A045/ses-BRATS/anat/sub-A045_ses-BRATS_ce_T1w.nii.gz,sub-A045/ses-BRATS/anat/sub-A045_ses-BRATS_T1w.nii.gz,sub-A045/ses-BRATS/anat/sub-A045_ses-BRATS_T2w.nii.gz,sub-A045/ses-BRATS/anat/sub-A045_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A045/anat/healthygmm.nii.gz
sub-A046/ses-BRATS/anat/sub-A046_ses-BRATS_ce_T1w.nii.gz,sub-A046/ses-BRATS/anat/sub-A046_ses-BRATS_T1w.nii.gz,sub-A046/ses-BRATS/anat/sub-A046_ses-BRATS_T2w.nii.gz,sub-A046/ses-BRATS/anat/sub-A046_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A046/anat/healthygmm.nii.gz
sub-A047/ses-BRATS/anat/sub-A047_ses-BRATS_ce_T1w.nii.gz,sub-A047/ses-BRATS/anat/sub-A047_ses-BRATS_T1w.nii.gz,sub-A047/ses-BRATS/anat/sub-A047_ses-BRATS_T2w.nii.gz,sub-A047/ses-BRATS/anat/sub-A047_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A047/anat/healthygmm.nii.gz
sub-A048/ses-BRATS/anat/sub-A048_ses-BRATS_ce_T1w.nii.gz,sub-A048/ses-BRATS/anat/sub-A048_ses-BRATS_T1w.nii.gz,sub-A048/ses-BRATS/anat/sub-A048_ses-BRATS_T2w.nii.gz,sub-A048/ses-BRATS/anat/sub-A048_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A048/anat/healthygmm.nii.gz
sub-A049/ses-BRATS/anat/sub-A049_ses-BRATS_ce_T1w.nii.gz,sub-A049/ses-BRATS/anat/sub-A049_ses-BRATS_T1w.nii.gz,sub-A049/ses-BRATS/anat/sub-A049_ses-BRATS_T2w.nii.gz,sub-A049/ses-BRATS/anat/sub-A049_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A049/anat/healthygmm.nii.gz
sub-A050/ses-BRATS/anat/sub-A050_ses-BRATS_ce_T1w.nii.gz,sub-A050/ses-BRATS/anat/sub-A050_ses-BRATS_T1w.nii.gz,sub-A050/ses-BRATS/anat/sub-A050_ses-BRATS_T2w.nii.gz,sub-A050/ses-BRATS/anat/sub-A050_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A050/anat/healthygmm.nii.gz
sub-A051/ses-BRATS/anat/sub-A051_ses-BRATS_ce_T1w.nii.gz,sub-A051/ses-BRATS/anat/sub-A051_ses-BRATS_T1w.nii.gz,sub-A051/ses-BRATS/anat/sub-A051_ses-BRATS_T2w.nii.gz,sub-A051/ses-BRATS/anat/sub-A051_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A051/anat/healthygmm.nii.gz
sub-A052/ses-BRATS/anat/sub-A052_ses-BRATS_ce_T1w.nii.gz,sub-A052/ses-BRATS/anat/sub-A052_ses-BRATS_T1w.nii.gz,sub-A052/ses-BRATS/anat/sub-A052_ses-BRATS_T2w.nii.gz,sub-A052/ses-BRATS/anat/sub-A052_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A052/anat/healthygmm.nii.gz
sub-A053/ses-BRATS/anat/sub-A053_ses-BRATS_ce_T1w.nii.gz,sub-A053/ses-BRATS/anat/sub-A053_ses-BRATS_T1w.nii.gz,sub-A053/ses-BRATS/anat/sub-A053_ses-BRATS_T2w.nii.gz,sub-A053/ses-BRATS/anat/sub-A053_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A053/anat/healthygmm.nii.gz
sub-A054/ses-BRATS/anat/sub-A054_ses-BRATS_ce_T1w.nii.gz,sub-A054/ses-BRATS/anat/sub-A054_ses-BRATS_T1w.nii.gz,sub-A054/ses-BRATS/anat/sub-A054_ses-BRATS_T2w.nii.gz,sub-A054/ses-BRATS/anat/sub-A054_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A054/anat/healthygmm.nii.gz
sub-A055/ses-BRATS/anat/sub-A055_ses-BRATS_ce_T1w.nii.gz,sub-A055/ses-BRATS/anat/sub-A055_ses-BRATS_T1w.nii.gz,sub-A055/ses-BRATS/anat/sub-A055_ses-BRATS_T2w.nii.gz,sub-A055/ses-BRATS/anat/sub-A055_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A055/anat/healthygmm.nii.gz
sub-A056/ses-BRATS/anat/sub-A056_ses-BRATS_ce_T1w.nii.gz,sub-A056/ses-BRATS/anat/sub-A056_ses-BRATS_T1w.nii.gz,sub-A056/ses-BRATS/anat/sub-A056_ses-BRATS_T2w.nii.gz,sub-A056/ses-BRATS/anat/sub-A056_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A056/anat/healthygmm.nii.gz
sub-A057/ses-BRATS/anat/sub-A057_ses-BRATS_ce_T1w.nii.gz,sub-A057/ses-BRATS/anat/sub-A057_ses-BRATS_T1w.nii.gz,sub-A057/ses-BRATS/anat/sub-A057_ses-BRATS_T2w.nii.gz,sub-A057/ses-BRATS/anat/sub-A057_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A057/anat/healthygmm.nii.gz
sub-A058/ses-BRATS/anat/sub-A058_ses-BRATS_ce_T1w.nii.gz,sub-A058/ses-BRATS/anat/sub-A058_ses-BRATS_T1w.nii.gz,sub-A058/ses-BRATS/anat/sub-A058_ses-BRATS_T2w.nii.gz,sub-A058/ses-BRATS/anat/sub-A058_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A058/anat/healthygmm.nii.gz
sub-A059/ses-BRATS/anat/sub-A059_ses-BRATS_ce_T1w.nii.gz,sub-A059/ses-BRATS/anat/sub-A059_ses-BRATS_T1w.nii.gz,sub-A059/ses-BRATS/anat/sub-A059_ses-BRATS_T2w.nii.gz,sub-A059/ses-BRATS/anat/sub-A059_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A059/anat/healthygmm.nii.gz
sub-A060/ses-BRATS/anat/sub-A060_ses-BRATS_ce_T1w.nii.gz,sub-A060/ses-BRATS/anat/sub-A060_ses-BRATS_T1w.nii.gz,sub-A060/ses-BRATS/anat/sub-A060_ses-BRATS_T2w.nii.gz,sub-A060/ses-BRATS/anat/sub-A060_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A060/anat/healthygmm.nii.gz
sub-A061/ses-BRATS/anat/sub-A061_ses-BRATS_ce_T1w.nii.gz,sub-A061/ses-BRATS/anat/sub-A061_ses-BRATS_T1w.nii.gz,sub-A061/ses-BRATS/anat/sub-A061_ses-BRATS_T2w.nii.gz,sub-A061/ses-BRATS/anat/sub-A061_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A061/anat/healthygmm.nii.gz
sub-A062/ses-BRATS/anat/sub-A062_ses-BRATS_ce_T1w.nii.gz,sub-A062/ses-BRATS/anat/sub-A062_ses-BRATS_T1w.nii.gz,sub-A062/ses-BRATS/anat/sub-A062_ses-BRATS_T2w.nii.gz,sub-A062/ses-BRATS/anat/sub-A062_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A062/anat/healthygmm.nii.gz
sub-A063/ses-BRATS/anat/sub-A063_ses-BRATS_ce_T1w.nii.gz,sub-A063/ses-BRATS/anat/sub-A063_ses-BRATS_T1w.nii.gz,sub-A063/ses-BRATS/anat/sub-A063_ses-BRATS_T2w.nii.gz,sub-A063/ses-BRATS/anat/sub-A063_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A063/anat/healthygmm.nii.gz
sub-A064/ses-BRATS/anat/sub-A064_ses-BRATS_ce_T1w.nii.gz,sub-A064/ses-BRATS/anat/sub-A064_ses-BRATS_T1w.nii.gz,sub-A064/ses-BRATS/anat/sub-A064_ses-BRATS_T2w.nii.gz,sub-A064/ses-BRATS/anat/sub-A064_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A064/anat/healthygmm.nii.gz
sub-A065/ses-BRATS/anat/sub-A065_ses-BRATS_ce_T1w.nii.gz,sub-A065/ses-BRATS/anat/sub-A065_ses-BRATS_T1w.nii.gz,sub-A065/ses-BRATS/anat/sub-A065_ses-BRATS_T2w.nii.gz,sub-A065/ses-BRATS/anat/sub-A065_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A065/anat/healthygmm.nii.gz
sub-A066/ses-BRATS/anat/sub-A066_ses-BRATS_ce_T1w.nii.gz,sub-A066/ses-BRATS/anat/sub-A066_ses-BRATS_T1w.nii.gz,sub-A066/ses-BRATS/anat/sub-A066_ses-BRATS_T2w.nii.gz,sub-A066/ses-BRATS/anat/sub-A066_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A066/anat/healthygmm.nii.gz
sub-A067/ses-BRATS/anat/sub-A067_ses-BRATS_ce_T1w.nii.gz,sub-A067/ses-BRATS/anat/sub-A067_ses-BRATS_T1w.nii.gz,sub-A067/ses-BRATS/anat/sub-A067_ses-BRATS_T2w.nii.gz,sub-A067/ses-BRATS/anat/sub-A067_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A067/anat/healthygmm.nii.gz
sub-A068/ses-BRATS/anat/sub-A068_ses-BRATS_ce_T1w.nii.gz,sub-A068/ses-BRATS/anat/sub-A068_ses-BRATS_T1w.nii.gz,sub-A068/ses-BRATS/anat/sub-A068_ses-BRATS_T2w.nii.gz,sub-A068/ses-BRATS/anat/sub-A068_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A068/anat/healthygmm.nii.gz
sub-A069/ses-BRATS/anat/sub-A069_ses-BRATS_ce_T1w.nii.gz,sub-A069/ses-BRATS/anat/sub-A069_ses-BRATS_T1w.nii.gz,sub-A069/ses-BRATS/anat/sub-A069_ses-BRATS_T2w.nii.gz,sub-A069/ses-BRATS/anat/sub-A069_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A069/anat/healthygmm.nii.gz
sub-A070/ses-BRATS/anat/sub-A070_ses-BRATS_ce_T1w.nii.gz,sub-A070/ses-BRATS/anat/sub-A070_ses-BRATS_T1w.nii.gz,sub-A070/ses-BRATS/anat/sub-A070_ses-BRATS_T2w.nii.gz,sub-A070/ses-BRATS/anat/sub-A070_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A070/anat/healthygmm.nii.gz
